Metrics with cutoff@5:
qid: 1, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 2, n_dcg: 0.152640, q_measure: 0.095833, n_err: 0.191803
qid: 3, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 4, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 5, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 6, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 7, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 8, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 9, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 10, n_dcg: 0.694720, q_measure: 0.793333, n_err: 0.931146
qid: 11, n_dcg: 0.280050, q_measure: 0.331667, n_err: 0.426710
qid: 12, n_dcg: 0.140386, q_measure: 0.100000, n_err: 0.183085
qid: 13, n_dcg: 0.642159, q_measure: 0.510000, n_err: 0.958319
qid: 14, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 15, n_dcg: 0.093591, q_measure: 0.100000, n_err: 0.261550
qid: 16, n_dcg: 0.093591, q_measure: 0.100000, n_err: 0.261550
qid: 17, n_dcg: 0.480207, q_measure: 0.608333, n_err: 0.881598
qid: 18, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 19, n_dcg: 0.274284, q_measure: 0.355000, n_err: 0.434801
qid: 20, n_dcg: 0.374363, q_measure: 0.287500, n_err: 0.836960
qid: 21, n_dcg: 0.361387, q_measure: 0.270000, n_err: 0.826498
qid: 22, n_dcg: 0.619871, q_measure: 0.677500, n_err: 0.659831
qid: 23, n_dcg: 0.217455, q_measure: 0.126667, n_err: 0.282474
qid: 24, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 25, n_dcg: 0.087103, q_measure: 0.065000, n_err: 0.107236
qid: 26, n_dcg: 0.000000, q_measure: 0.050000, n_err: 0.000000
qid: 27, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 28, n_dcg: 0.679643, q_measure: 0.654167, n_err: 0.819175
qid: 29, n_dcg: 0.090761, q_measure: 0.067105, n_err: 0.107379
qid: 30, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 31, n_dcg: 0.093591, q_measure: 0.100000, n_err: 0.261550
qid: 32, n_dcg: 0.180693, q_measure: 0.160000, n_err: 0.216563
qid: 33, n_dcg: 0.040307, q_measure: 0.020000, n_err: 0.052310
qid: 34, n_dcg: 0.625637, q_measure: 0.643333, n_err: 0.599849
qid: 35, n_dcg: 0.233977, q_measure: 0.275000, n_err: 0.408018
qid: 36, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 37, n_dcg: 0.413948, q_measure: 0.520000, n_err: 0.519724
qid: 38, n_dcg: 0.288378, q_measure: 0.309091, n_err: 0.427067
qid: 39, n_dcg: 0.180693, q_measure: 0.210000, n_err: 0.347338
qid: 40, n_dcg: 0.127410, q_measure: 0.075000, n_err: 0.149084
qid: 41, n_dcg: 0.239743, q_measure: 0.321667, n_err: 0.399927
qid: 42, n_dcg: 0.046795, q_measure: 0.025000, n_err: 0.065388
qid: 43, n_dcg: 0.719228, q_measure: 0.420000, n_err: 0.930700
qid: 44, n_dcg: 0.327568, q_measure: 0.162500, n_err: 0.379248
qid: 45, n_dcg: 0.140386, q_measure: 0.150000, n_err: 0.313860
qid: 46, n_dcg: 0.221001, q_measure: 0.120000, n_err: 0.238011
qid: 47, n_dcg: 0.321080, q_measure: 0.377500, n_err: 0.469953
qid: 48, n_dcg: 0.520515, q_measure: 0.678333, n_err: 0.742300
qid: 49, n_dcg: 0.095413, q_measure: 0.071111, n_err: 0.107686
qid: 50, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 51, n_dcg: 0.906409, q_measure: 0.955000, n_err: 0.995648
qid: 52, n_dcg: 0.201051, q_measure: 0.179825, n_err: 0.234314
qid: 53, n_dcg: 0.046795, q_measure: 0.025000, n_err: 0.065388
qid: 54, n_dcg: 0.608340, q_measure: 0.512500, n_err: 0.936349
qid: 55, n_dcg: 0.274026, q_measure: 0.285714, n_err: 0.412949
qid: 56, n_dcg: 0.642159, q_measure: 0.630000, n_err: 0.935721
qid: 57, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 58, n_dcg: 0.261308, q_measure: 0.130000, n_err: 0.258935
qid: 59, n_dcg: 0.177148, q_measure: 0.066667, n_err: 0.261550
qid: 60, n_dcg: 0.219221, q_measure: 0.075000, n_err: 0.264711
qid: 62, n_dcg: 0.573076, q_measure: 0.520000, n_err: 0.651294
qid: 63, n_dcg: 0.314591, q_measure: 0.365000, n_err: 0.461584
qid: 64, n_dcg: 0.822852, q_measure: 0.710000, n_err: 0.983010
qid: 65, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 66, n_dcg: 0.385894, q_measure: 0.265000, n_err: 0.403833
qid: 68, n_dcg: 0.227489, q_measure: 0.232500, n_err: 0.391279
qid: 69, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 70, n_dcg: 1.000000, q_measure: 0.950000, n_err: 0.862987
qid: 71, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 72, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 73, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 74, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 75, n_dcg: 0.280783, q_measure: 0.230000, n_err: 0.193847
qid: 76, n_dcg: 0.099091, q_measure: 0.037500, n_err: 0.106208
qid: 79, n_dcg: 0.268428, q_measure: 0.252381, n_err: 0.366948
qid: 80, n_dcg: 0.093591, q_measure: 0.100000, n_err: 0.261550
===================
avg ndcg: 0.230274, avg q-measure: 0.215167, avg n-err: 0.313774
